,up,down,left,right
"(0,0)",-3.68928,-3.3616,-3.68928,-3.3616
"(0,1)",-3.3616,-2.952,-3.68928,-3.68928
"(0,2)",-3.68928,-3.3616,-3.3616,-3.68928
"(0,3)",-3.68928,-201.952,-3.68928,-3.3616
"(0,4)",-3.3616,-2.952,-3.68928,-3.68928
"(0,5)",-3.68928,-201.952,-3.3616,-202.68928
"(0,6)",-202.68928,-3.3616,-3.68928,-3.3616
"(0,7)",-3.3616,-2.952,-202.68928,-3.3616
"(0,8)",-3.3616,-2.952,-3.3616,-201.44
"(0,9)",-201.44,-2.952,-3.3616,-1.8
"(0,1)",-1.8,-2.44,-201.44,-1.0
"(0,1)",-1.0,-1.8,-1.8,0.0
"(0,1)",0.0,0.0,0.0,0.0
"(1,0)",-3.68928,-2.952,-3.3616,-2.952
"(1,1)",-3.3616,-2.44,-3.3616,-3.3616
"(1,2)",-3.68928,-201.952,-2.952,-201.952
"(1,3)",-3.68928,-2.44,-3.3616,-2.952
"(1,4)",-3.3616,-2.44,-201.952,-201.952
"(1,5)",-3.68928,-2.44,-2.952,-3.3616
"(1,6)",-202.68928,-2.952,-201.952,-2.952
"(1,7)",-3.3616,-2.44,-3.3616,-2.952
"(1,8)",-3.3616,-2.44,-2.952,-2.952
"(1,9)",-201.44,-2.44,-2.952,-2.44
"(1,1)",-1.8,-2.44,-2.44,-1.8
"(1,1)",-1.0,-2.44,-2.44,-200.0
"(1,1)",0.0,-200.0,-1.8,-200.0
"(2,0)",-3.3616,-200.8,-2.952,-2.44
"(2,1)",-2.952,-1.8,-2.952,-201.952
"(2,2)",-3.3616,-200.8,-2.44,-2.44
"(2,3)",-201.952,-200.0,-201.952,-1.8
"(2,4)",-2.952,-2.44,-2.44,-2.44
"(2,5)",-201.952,-1.8,-1.8,-2.952
"(2,6)",-3.3616,-2.44,-2.44,-2.44
"(2,7)",-2.952,-200.0,-2.952,-1.8
"(2,8)",-2.952,-1.8,-1.8,-1.8
"(2,9)",-2.952,-200.0,-1.8,-2.952
"(2,1)",-2.44,-200.8,-2.44,-2.44
"(2,1)",-1.8,-1.8,-2.44,-200.0
"(2,1)",-200.0,0.0,-1.8,-200.0
"(3,0)",-2.952,-1.8,-200.0,-1.0
"(3,1)",-2.44,-1.0,-200.0,-200.8
"(3,2)",-201.952,-1.0,-1.8,-200.0
"(3,3)",-2.44,-1.0,0.0,-2.44
"(3,4)",-2.44,-200.8,-200.0,-1.8
"(3,5)",-2.44,-1.0,-1.0,-1.0
"(3,6)",-2.952,-1.8,-1.8,-200.0
"(3,7)",-2.44,-1.8,0.0,-1.8
"(3,8)",-2.44,-1.0,-200.0,-200.8
"(3,9)",-2.44,-1.0,-1.0,-200.0
"(3,1)",-2.44,-1.0,-200.0,-2.44
"(3,1)",-2.44,-1.8,-200.8,-2.44
"(3,1)",-200.0,-200.0,-1.8,-2.44
"(4,0)",-200.8,-200.0,-1.8,-1.0
"(4,1)",-1.8,-1.0,-1.8,-1.8
"(4,2)",-200.8,-200.0,-1.8,-1.0
"(4,3)",-200.0,0.0,-1.8,-200.8
"(4,4)",-2.44,-200.0,-1.0,-1.0
"(4,5)",-1.8,-1.0,-200.8,0.0
"(4,6)",-2.44,-200.0,-1.0,-1.8
"(4,7)",-200.0,-201.44,-1.0,-1.0
"(4,8)",-1.8,0.0,-1.0,-1.0
"(4,9)",-200.8,-1.0,-1.0,0.0
"(4,1)",-200.8,-200.8,-1.0,-1.0
"(4,1)",-2.44,-1.8,-1.8,-200.0
"(4,1)",-2.44,-200.0,0.0,0.0
"(5,0)",-1.8,0.0,-200.0,-1.0
"(5,1)",-1.8,0.0,0.0,-200.0
"(5,2)",-1.8,-200.0,-1.0,-1.8
"(5,3)",-1.0,-1.0,-200.8,-200.0
"(5,4)",-200.8,0.0,-1.8,0.0
"(5,5)",-1.0,0.0,-200.0,0.0
"(5,6)",-1.8,-1.0,-1.0,-201.44
"(5,7)",-1.8,-1.8,-200.0,-200.0
"(5,8)",-1.0,0.0,-200.8,-1.0
"(5,9)",-1.0,0.0,-200.0,-200.8
"(5,1)",-1.8,-200.0,-1.0,-1.0
"(5,1)",-2.44,-1.0,-200.0,-200.0
"(5,1)",-200.0,-1.0,-1.8,-200.8
"(6,0)",-200.0,-1.0,-1.8,-1.0
"(6,1)",-1.0,-200.0,-1.8,0.0
"(6,2)",-200.8,0.0,-1.0,0.0
"(6,3)",-1.8,0.0,-200.0,-1.0
"(6,4)",-200.0,-1.0,-1.0,0.0
"(6,5)",-1.0,0.0,0.0,0.0
"(6,6)",-200.8,0.0,0.0,0.0
"(6,7)",-201.44,-1.0,-1.0,-200.0
"(6,8)",-200.0,0.0,-1.8,0.0
"(6,9)",-1.0,-200.0,-200.0,-200.0
"(6,1)",-200.8,0.0,-1.8,-1.0
"(6,1)",-1.8,-1.0,-200.0,0.0
"(6,1)",-200.8,-200.0,-1.0,-1.8
"(7,0)",-1.8,-200.0,-1.0,0.0
"(7,1)",-1.0,0.0,-1.0,-1.0
"(7,2)",-200.0,-1.0,-200.0,0.0
"(7,3)",-1.0,0.0,0.0,-1.0
"(7,4)",-1.0,-1.8,-1.0,0.0
"(7,5)",-200.0,-200.0,0.0,-200.0
"(7,6)",-1.0,-200.0,0.0,-1.0
"(7,7)",-1.8,0.0,-200.0,-1.0
"(7,8)",-200.0,-1.0,0.0,0.0
"(7,9)",-1.8,-1.0,0.0,0.0
"(7,1)",-200.0,0.0,-200.0,-1.0
"(7,1)",-1.0,-1.8,0.0,0.0
"(7,1)",-1.8,-1.0,-1.0,0.0
"(8,0)",-1.0,0.0,-200.0,-1.0
"(8,1)",-200.0,-1.0,0.0,0.0
"(8,2)",-1.0,-200.0,-1.0,0.0
"(8,3)",-1.0,-1.0,0.0,-1.0
"(8,4)",-1.0,-200.0,-1.0,-200.0
"(8,5)",-1.0,-1.0,-1.0,-200.0
"(8,6)",-200.0,-1.0,-200.0,0.0
"(8,7)",-1.0,0.0,0.0,-1.0
"(8,8)",-1.0,0.0,0.0,-1.0
"(8,9)",-200.0,-200.0,0.0,-1.0
"(8,1)",-1.0,-1.0,-1.0,0.0
"(8,1)",-1.0,-1.0,-1.0,-1.0
"(8,1)",-200.0,0.0,-1.0,-1.0
"(9,0)",-200.0,0.0,-200.0,0.0
"(9,1)",-1.0,0.0,0.0,0.0
"(9,2)",-1.0,0.0,-1.0,0.0
"(9,3)",-1.0,-1.0,-200.0,0.0
"(9,4)",-1.0,0.0,0.0,-1.0
"(9,5)",-200.8,0.0,0.0,-1.0
"(9,6)",-200.0,-200.0,0.0,0.0
"(9,7)",-1.0,0.0,0.0,-1.0
"(9,8)",-1.0,-1.0,-1.0,-200.0
"(9,9)",-1.0,0.0,0.0,-1.0
"(9,1)",-1.0,-1.0,0.0,0.0
"(9,1)",-1.8,-1.0,0.0,0.0
"(9,1)",-1.0,0.0,-1.0,-1.0
"(1,0)",-200.0,0.0,0.0,-1.0
"(1,0)",-1.0,0.0,-1.0,0.0
"(1,0)",-200.0,-1.0,-1.0,0.0
"(1,0)",-1.0,0.0,-1.0,0.0
"(1,0)",-200.0,0.0,0.0,0.0
"(1,0)",-1.0,0.0,0.0,0.0
"(1,0)",-1.0,-200.0,-1.0,0.0
"(1,0)",-1.0,0.0,0.0,0.0
"(1,0)",-1.0,0.0,-200.0,0.0
"(1,0)",-200.0,-1.0,-1.0,-1.0
"(1,0)",-1.0,-1.0,0.0,0.0
"(1,0)",-1.0,0.0,0.0,-1.0
"(1,0)",-1.0,0.0,0.0,-1.0
